CROP_YEAR,STATE_CODE,STATE_ABBR,COUNTY_CODE,COUNTY_NAME,CROP_CODE,CROP_NAME,INSURANCE_PLAN_CODE,INSURANCE_PLAN_NAME,STAGE_CODE,COVERAGE_TYPE,COVERAGE_LEVEL,POLICIES_SOLD,POLICIES_EARNING_PREMIUM,POLICIES_INDEMNIFIED,UNITS_EARNING_PREMIUM,UNITS_INDEMNIFIED,QUANTITY_TYPE,NET_REPORTED_QUANTITY,COMPANION_QUANTITY,LIABILITY,TOTAL_PREMIUM,PRODUCER_PREMIUM,SUBSIDY,STATE_SUBSIDY,ADDITIONAL_SUBSIDY,INDEMNITY,LOSS_RATIO
2023,39,OH,133,Portage                       ,11,Wheat                         ,2,RP        ,A    ,RBUP,0.65,1,0,0,0,0,Acres                    ,0.0,0,0.0,0.0,0,0,0,0,0.0,
2023,39,OH,123,  Ottawa    ,81,Soybeans                      ,32,SCO-RP    ,A    ,RBUP,0.75,12,11,0,31,0,Acres                    ,0.0,1373,121860.0,28039.0,18228,0,0,0,0.0,0.0
2023,17,IL,167,Sangamon                      ,11,Wheat                         ,32,SCO-RP    ,A    ,RBUP,0.7,1,0,0,0,0,Acres                    ,0.0,0,0.0,0.0,0,0,0,0,0.0,
2023,31,NE,83,Harlan                        ,81,Soybeans                      ,2,RP        ,A    ,RBUP,0.65,13,9,6,20,11,Acres                    ,840.0,0,426843.0,32655.0,19266,0,0,0,40352.0,1.2357066299188486
2023,38,ND,81,Sargent                       ,11,Wheat                         ,1,YP        ,A    ,RBUP,0.5,2,1,1,1,1,Acres                    ,2.0,0,337.0,45.0,30,0,0,0,337.0,7.488888888888889
2023,17,IL,131,Mercer                        ,41,Corn                          ,3,RPHPE     ,A    ,RBUP,0.5,1,1,0,1,0,Acres                    ,81.0,0,54775.0,324.0,217,0,0,0,0.0,0.0
2023,20,KS,37,Crawford                      ,11,Wheat                         ,1,YP        ,A    ,RBUP,0.5,2,0,0,0,0,Acres                    ,0.0,0,0.0,0.0,0,0,0,0,0.0,
2023,18,IN,111,Newton                        ,81,Soybeans                      ,1,YP        ,C    ,RCAT,0.5,6,0,0,0,0,Acres                    ,0.0,0,0.0,0.0,0,0,0,0,0.0,
2023,48,TX,41,Brazos                        ,21,Cotton                        ,2,RP        ,A    ,RBUP,0.5,0,0,0,0,0,Acres                    ,159.0,0,74482.0,3338.0,2670,0,0,0,0.0,0.0
2023,46,SD,129,Walworth                      ,41,Corn                          ,2,RP        ,A    ,RBUP,0.65,12,2,0,2,0,Acres                    ,87.0,0,40794.0,4664.0,2752,0,0,0,0.0,0.0
2023,20,KS,37,Crawford                      ,11,Wheat                         ,1,YP        ,A    ,RBUP,0.7,3,0,0,0,0,Acres                    ,0.0,0,0.0,0.0,0,0,0,0,0.0,
2023,19,IA,127,Marshall                      ,41,Corn                          ,1,YP        ,A    ,RBUP,0.65,5,2,1,2,1,Acres                    ,135.0,0,110037.0,631.0,372,0,0,0,1108.0,1.7559429477020603
2023,39,OH,123,Ottawa                        ,81,Soybeans                      ,2,RP        ,A    ,RBUP,0.5,1,1,0,3,0,Acres                    ,78.0,0,29586.0,940.0,629,0,0,0,0.0,0.0
